text,expected,predicted
"Угарище, на первом ОП-пике фотошоперу даже фамилию предшественника менять не пришлось, чтобы вместо него подставить главного лакея Маэстро.
",1.0,0.0
"Когда было наводнение в Тайланде, остановились производства жестких дисков по всему миру. Так как оказалось, что почти все двигатели для головок делались на одном заводе в этом самом Тайланде.
",0.0,0.0
"Ого круто! По телеку видел, думаю все это видели. И в ютубе и везде бля реклама этого авто ру , чудо опцией просмотра истории за деньги
",0.0,0.0
"норвежские кирпичные дома постройки 18 века так очевидно как текст поста не гуглятся. Однако, вполне возможно влияние дании на этот счет, они как раз воевали в 18м веке. Насчет других стран - у всех свое видение богатства.
",0.0,0.0
"Какой то он жалкий всё время. Этакая тень Льва Давидовича. Как неприкаянный дурачок, но настырный и упрямый.
",1.0,0.0
"Пример того, что битард может быть успешным.
",0.0,0.0
"Маленький куплен года 4 назад. Большой 3 месяца.
",0.0,0.0
"не более, чем совпадение названий
",0.0,0.0
"Спасибо, но у меня доджик был(китайская фирма) с аккумулятором 12к,но такой адской толщины там не было)
",0.0,0.0
"Задолбал этот культ войны.
",1.0,1.0
"У нас в Красноярске есть разрез возле цементного завода, граница кировского ленинского района на горе. Там периодически взрывают и работают ЭКГ-5.
",0.0,0.0
"Ну не меняй, наличие выбора не обязывает его делать, но выбор должен быть, иначе олигополия и это вот всё.
",0.0,0.0
"На вкус и цвет Мне, например, нравятся такие
",0.0,0.0
"Москва, Покровское-Стрешнево
",1.0,1.0
"Эй парень, а не ты ли дерьмом собачьим обмазался?
",1.0,1.0
"да, Электронный рай, на -1 этаже много ремонтников. И Горбушка конечно. Да, Савеловский забыл.
",0.0,0.0
"На 3-м фото очень красивое платье.
",0.0,0.0
"а если я все это делаю в 24 и без детей, это все ?(
",0.0,0.0
"стоит ли анону качественный разъеб с годным монтажом делать А ты точно вывезешь?
",1.0,1.0
"ага, на должность генератора законопроектов
",0.0,1.0
"Не, не катит. Это ебань мохнатая пролетает.
",1.0,1.0
